Skill,Description,Activities,Reflection,Book,Video,Podcast,Course
"Strategic Communication","Effectively conveying complex technical concepts to diverse audiences including stakeholders, team members, and executives","1. Create a 5-minute executive summary presentation on a complex technical project for non-technical stakeholders
2. Practice the ""Explain Like I'm 5"" technique - take a complex system you work on and explain it to someone outside tech
3. Schedule weekly 1-on-1s with team members using active listening techniques - paraphrase and validate understanding
4. Document a technical decision using the ADR (Architecture Decision Record) format focusing on business impact
5. Lead a cross-functional meeting and practice adapting communication style for different roles","Reflect on a recent conversation where you felt misunderstood. What could you have done differently to ensure clarity? How did the other person's background influence how you should have communicated?","'Crucial Conversations' by Kerry Patterson (2021 edition) - Essential guide for high-stakes communication","TED Talk: 'How to Speak So That People Want to Listen' by Julian Treasure (2013, still highly relevant)","'The Communication Guys' podcast - Episodes on executive presence and technical communication","Coursera: 'Improving Communication Skills' by University of Pennsylvania (Updated 2024)"
"Emotional Intelligence","Understanding and managing your own emotions while recognizing and influencing the emotions of others","1. Keep a daily emotion journal - track what triggered different emotions and how you responded
2. Practice the 'Pause Technique' - when feeling strong emotions, take 10 deep breaths before responding
3. Conduct a 360-degree feedback session with peers and direct reports focusing on emotional awareness
4. Role-play difficult conversations with a trusted colleague before having them
5. Implement a personal check-in routine before important meetings to assess your emotional state","When was the last time you acted on impulse and regretted it? What emotions were driving you? How can you recognize these patterns earlier?","'Emotional Intelligence 2.0' by Travis Bradberry (2023 reprint) - Practical strategies with self-assessment","Video: 'The Power of Emotional Intelligence' by Daniel Goleman on YouTube (2023 interview)","'The Science of Success' podcast - Episodes on emotional intelligence and self-awareness","LinkedIn Learning: 'Developing Your Emotional Intelligence' by Gemma Leigh Roberts (2024)"
"Adaptive Leadership","Leading through change and uncertainty while maintaining team morale and productivity","1. Implement a monthly 'What If' scenario planning session with your team
2. Shadow a leader from a different department for a day to learn alternative leadership approaches
3. Create a change readiness assessment for your team and develop personalized support plans
4. Practice transparent leadership - share a challenge you're facing and ask for team input
5. Experiment with a new leadership style for one sprint/project cycle and gather feedback","Think of a major change initiative you led. What would you do differently knowing what you know now? How did you help others through their resistance?","'The Fearless Organization' by Amy Edmondson (2023 edition) - Creating psychological safety in changing environments","TED Talk: 'How Great Leaders Inspire Action' by Simon Sinek (timeless principles)","'At The Table with Patrick Lencioni' - Episodes on leading through disruption","Udemy: 'Leading Through Change and Uncertainty' (2024 version)"
"Mentorship and Coaching","Developing others through guidance, feedback, and support while building organizational capability","1. Establish a formal mentorship relationship with 2 people at different career stages
2. Use the GROW model (Goal, Reality, Options, Will) in your next coaching conversation
3. Create a knowledge transfer plan for your key expertise areas
4. Practice giving feedback using the SBI model (Situation, Behavior, Impact) weekly
5. Organize a 'lunch and learn' session where you teach a skill to your team","Who has had the biggest impact on your career? What specific actions did they take? How can you replicate this for others?","'The Coaching Habit' by Michael Bungay Stanier (2023 edition) - Seven essential questions for effective coaching","Video: 'Simon Sinek on Millennials in the Workplace' - Relevant mentorship insights","'The Mentee Podcast' - Episodes on effective mentorship strategies","Coursera: 'Coaching Skills for Managers' by University of California, Davis (2024)"
"Conflict Resolution","Addressing disagreements constructively while maintaining relationships and finding win-win solutions","1. Use the Thomas-Kilmann Conflict Mode Instrument to understand your default conflict style
2. Practice the 'Interest-Based Relational' approach - separate people from problems in next conflict
3. Mediate a disagreement between two team members using neutral facilitation techniques
4. Conduct a retrospective on a past conflict to identify lessons learned
5. Create a team conflict resolution charter defining how conflicts will be handled","Describe a conflict you avoided that later escalated. What was your fear? What would have happened if you'd addressed it early?","'Difficult Conversations' by Douglas Stone (2023 revised edition) - Harvard negotiation project insights","TED Talk: 'Dare to Disagree' by Margaret Heffernan - Value of productive conflict","'WorkLife with Adam Grant' podcast - Episodes on navigating workplace conflicts","LinkedIn Learning: 'Conflict Resolution Foundations' by Lisa Gates (2024)"
"Strategic Thinking","Seeing the big picture, anticipating future trends, and aligning tactical work with organizational goals","1. Create a 3-year technology roadmap connecting to business objectives
2. Conduct a SWOT analysis (Strengths, Weaknesses, Opportunities, Threats) for your team quarterly
3. Participate in or shadow strategy meetings at the executive level
4. Read 3 industry reports and identify 5 trends that could impact your organization
5. Practice 'pre-mortem' analysis - imagine a project failed and work backwards to identify risks","What decision seemed right at the time but had unintended consequences? What broader context did you miss?","'Good Strategy Bad Strategy' by Richard Rumelt (2023 edition) - Distinguishing between real strategy and fluff","Video: 'Michael Porter on Strategy' - YouTube series from Harvard Business School","'Masters of Scale' podcast by Reid Hoffman - Episodes on strategic decision-making","edX: 'Strategic Leadership and Management' by University of Illinois (2024)"
"Inclusive Collaboration","Building and leading diverse teams while ensuring all voices are heard and valued","1. Audit your team meetings - who speaks most/least? Implement 'round-robin' check-ins
2. Create a team charter that explicitly defines inclusive behaviors
3. Learn about unconscious bias through Harvard's Implicit Association Test and discuss with team
4. Implement 'silent brainstorming' (written ideas first) to ensure introverts contribute equally
5. Partner with ERG (Employee Resource Groups) to understand diverse employee experiences","Review your last hiring process. Who was in the room? Whose perspectives were missing? How might this have affected the outcome?","'The Culture Map' by Erin Meyer (2023 edition) - Navigating cultural differences in global teams","TED Talk: 'The Danger of a Single Story' by Chimamanda Ngozi Adichie - Understanding diverse perspectives","'Diversity Beyond the Checkbox' podcast - Practical inclusion strategies","Coursera: 'Inclusive Leadership: The Power of Workplace Diversity' by University of Colorado (2024)"
"Resilience and Stress Management","Maintaining effectiveness and well-being during high-pressure situations and setbacks","1. Implement a daily mindfulness practice (10 minutes using apps like Calm or Headspace)
2. Create a 'failure resume' documenting setbacks and lessons learned
3. Establish clear work-life boundaries - define your non-negotiable personal time
4. Build a support network - identify 3 people you can reach out to in difficult times
5. Practice cognitive reframing - turn 3 recent setbacks into learning opportunities","What are your physical and emotional signals of burnout? What patterns do you notice? What can you do when you notice these signs?","'The Resilience Factor' by Karen Reivich (2023 edition) - Science-based resilience training","Video: 'The Power of Vulnerability' by Brené Brown on YouTube - Building resilience through authenticity","'The Happiness Lab' by Dr. Laurie Santos - Episodes on stress management and resilience","Udemy: 'The Ultimate Stress Management Course' (2024 updated version)"
"Negotiation and Influence","Achieving objectives through persuasion, building consensus, and navigating organizational politics","1. Practice the BATNA approach (Best Alternative To a Negotiated Agreement) in your next negotiation
2. Map stakeholders for a key initiative using an influence grid (power vs. interest)
3. Use the 'Five Whys' technique to understand underlying positions in a disagreement
4. Practice reciprocity - help someone outside your team without expecting immediate return
5. Role-play a salary negotiation or resource request with a mentor","Think of a time you 'lost' a negotiation. What would you do differently? What did the other party need that you didn't recognize?","'Never Split the Difference' by Chris Voss (2023 reprint) - FBI negotiation tactics for business","TED Talk: 'How to Defend Your Research to a Room Full of Doubters' by Sarah Parcak - Influencing skeptics","'Negotiate Anything' podcast - Real-world negotiation strategies","LinkedIn Learning: 'Negotiation Foundations' by Lisa Gates (2024)"
"Continuous Learning and Adaptability","Staying current with industry changes while maintaining a growth mindset and embracing new challenges","1. Commit to learning one new technology or methodology each quarter (not just reading about it)
2. Teach something you recently learned to demonstrate mastery (blog, presentation, or workshop)
3. Attend 2 conferences or virtual events outside your immediate expertise area
4. Create a personal learning plan with quarterly goals and accountability partner
5. Embrace a 'beginner's mindset' - tackle a project in an unfamiliar domain","When did you last feel like a beginner? How did it feel? What did you learn about yourself? How can you maintain humility as an expert?","'Mindset' by Carol Dweck (2023 updated edition) - Classic on growth mindset and learning","Video: 'The Surprising Truth About What Motivates Us' by Dan Pink - RSA Animate version","'The Tim Ferriss Show' - Episodes featuring lifelong learners and their strategies","Pluralsight: 'Building Your Technology Skills' learning paths (2024) or Udacity nanodegree programs"
